name,image,url,title
ش,https://cdn.salla.sa/vXZPEy/91ceade8-bdcd-426a-9664-256f01a89308-500x500-54ran83I0v4JtcpMG8WZDf6edfMc5YUi8LqImpvb.jpg,https://elburoj.com/ar/قاطع-رئيسي-ثلاثي-القطب-من-شنايدر-32-امبير-easypact-ezc100n3030-tmd/p926837950,"قاطع رئيسي ثلاثي القطب EZC100N3030 من شنايدر"
"SCHNEIDER BREAKER MCCB  ثلثي قاطع /EZ100N 3P80A 18KA",https://cdn.salla.sa/vXZPEy/91ceade8-bdcd-426a-9664-256f01a89308-500x500-54ran83I0v4JtcpMG8WZDf6edfMc5YUi8LqImpvb.jpg,https://elburoj.com/en/schneider-3-pole-main-circuit-breaker-32-amp-easypact-ezc100n3030-tmd/p926837950,"Schneider 3 Pole Main Circuit Breaker - 32 Amp - Easypact EZC100N3030, TMD"
"C Channel 1mm",https://cdn.salla.sa/vXZPEy/75a421f1-d69a-4021-bdb0-e9aa7b5810fd-500x500-sEC3MlWUScfhtnlJ5EjyKQFwlBsYxVgyfMmHoRf1.jpg,https://elburoj.com/ar/كونتاكتور-ثلاثي-القطب-من-شنايدر-440-فولت-حد-اقصى-95-امبير-tesys-d-contactor-lc1d95m7/p17075135,"كونتاكتور ثلاثي القطب من شنايدر - 440 فولت حد اقصى - 95 امبير - TeSys D contactor LC1D95M7"
"U PVC male adapter 1 inch",https://cdn.salla.sa/vXZPEy/75a421f1-d69a-4021-bdb0-e9aa7b5810fd-500x500-sEC3MlWUScfhtnlJ5EjyKQFwlBsYxVgyfMmHoRf1.jpg,https://elburoj.com/en/schneider-3-pole-contactor-440-volts-maximum-95-amps-tesys-d-contactor-lc1d95m7/p17075135,"Schneider 3 Pole Contactor - 440 Volts Maximum - 95 Amps - TeSys D Contactor LC1D95M7"
ش,https://cdn.salla.sa/vXZPEy/96506002-7a90-4471-9574-1daec8db5c29-500x500-QbmpQx2h1eIZARzUr4gDYu3pJtQV6LOrAeHynzbf.jpg,https://elburoj.com/ar/قاطع-رئيسي-ثلاثي-القطب-من-شنايدر-150-امبير-easypact-ezc250n3150-tmd/p1390521016,"قاطع رئيسي ثلاثي القطب EZC250N3150 من شنايدر"
"SCHNEIDER BREAKER MCCB  ثلثي قاطع /EZ100N 3P80A 18KA",https://cdn.salla.sa/vXZPEy/96506002-7a90-4471-9574-1daec8db5c29-500x500-QbmpQx2h1eIZARzUr4gDYu3pJtQV6LOrAeHynzbf.jpg,https://elburoj.com/en/schneider-3-pole-main-circuit-breaker-150-amps-easypact-ezc250n3150-tmd/p1390521016,"Schneider 3 Pole Main Circuit Breaker - 150 Amps - Easypact EZC250N3150,TMD"
ش,https://cdn.salla.sa/vXZPEy/d56c905c-4d34-4e34-a2ce-1ea43f0a5cc8-500x500-DtqI92QiDLWNrPGxbGgBZ8mC72xJ4Om0IU3p4XYv.jpg,https://elburoj.com/ar/قاطع-كهرباء-200-امبير/p751749561,"اشترِ قاطع كهرباء 200 امبير رئيسي EZC250N3200 من شنايدر"
"SCHNEIDER BREAKER MCCB  ثلثي قاطع /EZ100N 3P80A 18KA",https://cdn.salla.sa/vXZPEy/d56c905c-4d34-4e34-a2ce-1ea43f0a5cc8-500x500-DtqI92QiDLWNrPGxbGgBZ8mC72xJ4Om0IU3p4XYv.jpg,https://elburoj.com/en/قاطع-كهرباء-200-امبير/p751749561,"Schneider 3 Pole Main Circuit Breaker - 200 Amps - Easypact EZC250N3200,TMD"
ش,https://cdn.salla.sa/vXZPEy/a85ef549-c657-410a-afd6-0c90ee18c0e4-500x500-WdSB5UA3lwkT3bUKVhdZbH1d4uPDZsgWQszTjy7A.jpg,https://elburoj.com/ar/قاطع-رئيسي-ثلاثي-القطب-من-شنايدر-250-امبير-easypact-ezc250n3250-tmd/p2125195450,"اشترِ قاطع رئيسي ثلاثي القطب من شنايدر 250 امبير EZC250N3250"
"SCHNEIDER BREAKER MCCB  ثلثي قاطع /EZ100N 3P80A 18KA",https://cdn.salla.sa/vXZPEy/a85ef549-c657-410a-afd6-0c90ee18c0e4-500x500-WdSB5UA3lwkT3bUKVhdZbH1d4uPDZsgWQszTjy7A.jpg,https://elburoj.com/en/schneider-3-pole-main-circuit-breaker-250-amps-easypact-ezc250n3250-tmd/p2125195450,"Schneider 3 Pole Main circuit Breaker - 250 Amps - Easypact EZC250N3250,TMD"
